2019-05-02 16:28:01.509 [main] INFO  - [CEO, Andrey, Holenkov, 0, 200]
2019-05-03 20:28:55.038 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 20:28:55.048 [main] INFO  - EmployeesRepository [employees=[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]]
2019-05-03 20:31:14.770 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 20:31:14.779 [main] INFO  - EmployeesRepository [employees=[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]]
2019-05-03 20:31:31.134 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 20:31:31.144 [main] INFO  - EmployeesRepository [employees=[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]]
2019-05-03 20:34:30.646 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 20:34:30.656 [main] INFO  - EmployeesRepository [employees=[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]]
2019-05-03 20:35:32.086 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 20:35:32.096 [main] INFO  - EmployeesRepository [employees=[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]]
2019-05-03 21:01:33.036 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:04:53.490 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:12:11.555 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:18:24.615 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:18:41.546 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:18:54.704 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:28:22.018 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:29:24.710 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Management, Project Manager, Pavel, Sidorov, 3, 2000], [Management, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Management, Sales Manager, Pavel, Prostov, 2, 770], [Management, Junior Sales Manager, Alexey, Protas, 1, 500], [Management, Product Manager, Alexander, Frolov, 3, 950], [Management, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:30:30.045 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Management, Project Manager, Pavel, Sidorov, 3, 2000], [Management, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Management, Sales Manager, Pavel, Prostov, 2, 770], [Management, Junior Sales Manager, Alexey, Protas, 1, 500], [Management, Product Manager, Alexander, Frolov, 3, 950], [Management, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA Department, Lead Tester, Olga, Mager, 4, 1400], [QA Department, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA Department, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA Department, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA Department, Middle QA Engineer, Ury, Selvich, 2, 800], [QA Department, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA Department, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:30:30.059 [main] INFO  - EmployeesRepository [employees=[Employee [position=Junior Developer, firstName=Andrey, lastName=Holenkov, experience=1, salary=400], Employee [position=Senior Developer, firstName=Evgeny, lastName=Petrov, experience=5, salary=1600], Employee [position=Senior Developer, firstName=Ivan, lastName=Ivanov, experience=7, salary=1800], Employee [position=Middle Developer, firstName=Nataly, lastName=Gulevich, experience=3, salary=900], Employee [position=Middle Developer, firstName=Dmitry, lastName=Goman, experience=2, salary=1100], Employee [position=Team Lead, firstName=Alexander, lastName=Chorba, experience=6, salary=2500], Employee [position=Junior Developer, firstName=Tania, lastName=Kurs, experience=2, salary=550], Employee [position=Project Manager, firstName=Pavel, lastName=Sidorov, experience=3, salary=2000], Employee [position=Senior Project Manager, firstName=Alex, lastName=Mitrofanov, experience=5, salary=2300], Employee [position=Sales Manager, firstName=Pavel, lastName=Prostov, experience=2, salary=770], Employee [position=Junior Sales Manager, firstName=Alexey, lastName=Protas, experience=1, salary=500], Employee [position=Product Manager, firstName=Alexander, lastName=Frolov, experience=3, salary=950], Employee [position=Junior Sales Manager, firstName=Zinaida, lastName=Letova, experience=2, salary=600], Employee [position=Lead Tester, firstName=Olga, lastName=Mager, experience=4, salary=1400], Employee [position=Lead Tester, firstName=Katerina, lastName=Tamanovich, experience=5, salary=1800], Employee [position=Junior QA Engineer, firstName=Vladimir, lastName=Okulik, experience=1, salary=400], Employee [position=Junior QA Engineer, firstName=Konstantin, lastName=Orehov, experience=2, salary=450], Employee [position=Middle QA Engineer, firstName=Ury, lastName=Selvich, experience=2, salary=800], Employee [position=Middle QA Engineer, firstName=Dmitry, lastName=Marhonko, experience=3, salary=1000], Employee [position=Junior QA Engineer, firstName=Valery, lastName=Gorodko, experience=2, salary=480]]]
2019-05-03 21:33:47.669 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Management, Project Manager, Pavel, Sidorov, 3, 2000], [Management, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Management, Sales Manager, Pavel, Prostov, 2, 770], [Management, Junior Sales Manager, Alexey, Protas, 1, 500], [Management, Product Manager, Alexander, Frolov, 3, 950], [Management, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA Department, Lead Tester, Olga, Mager, 4, 1400], [QA Department, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA Department, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA Department, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA Department, Middle QA Engineer, Ury, Selvich, 2, 800], [QA Department, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA Department, Junior QA Engineer, Valery, Gorodko, 2, 480]]
2019-05-03 21:33:47.682 [main] INFO  - EmployeesRepository [employees=[Employee [position=Junior Developer, firstName=Andrey, lastName=Holenkov, experience=1, salary=400], Employee [position=Senior Developer, firstName=Evgeny, lastName=Petrov, experience=5, salary=1600], Employee [position=Senior Developer, firstName=Ivan, lastName=Ivanov, experience=7, salary=1800], Employee [position=Middle Developer, firstName=Nataly, lastName=Gulevich, experience=3, salary=900], Employee [position=Middle Developer, firstName=Dmitry, lastName=Goman, experience=2, salary=1100], Employee [position=Team Lead, firstName=Alexander, lastName=Chorba, experience=6, salary=2500], Employee [position=Junior Developer, firstName=Tania, lastName=Kurs, experience=2, salary=550], Employee [position=Project Manager, firstName=Pavel, lastName=Sidorov, experience=3, salary=2000], Employee [position=Senior Project Manager, firstName=Alex, lastName=Mitrofanov, experience=5, salary=2300], Employee [position=Sales Manager, firstName=Pavel, lastName=Prostov, experience=2, salary=770], Employee [position=Junior Sales Manager, firstName=Alexey, lastName=Protas, experience=1, salary=500], Employee [position=Product Manager, firstName=Alexander, lastName=Frolov, experience=3, salary=950], Employee [position=Junior Sales Manager, firstName=Zinaida, lastName=Letova, experience=2, salary=600], Employee [position=Lead Tester, firstName=Olga, lastName=Mager, experience=4, salary=1400], Employee [position=Lead Tester, firstName=Katerina, lastName=Tamanovich, experience=5, salary=1800], Employee [position=Junior QA Engineer, firstName=Vladimir, lastName=Okulik, experience=1, salary=400], Employee [position=Junior QA Engineer, firstName=Konstantin, lastName=Orehov, experience=2, salary=450], Employee [position=Middle QA Engineer, firstName=Ury, lastName=Selvich, experience=2, salary=800], Employee [position=Middle QA Engineer, firstName=Dmitry, lastName=Marhonko, experience=3, salary=1000], Employee [position=Junior QA Engineer, firstName=Valery, lastName=Gorodko, experience=2, salary=480]]]
